id,topic_0,topic_1,label
0,0.19528071582317352,0.8047192692756653,1
1,0.7967570424079895,0.2032429575920105,1
2,0.12214089184999466,0.8778591156005859,0
3,0.33486950397491455,0.6651304364204407,1
4,0.07704951614141464,0.9229505062103271,1
5,0.38064926862716675,0.619350790977478,0
6,0.17887669801712036,0.8211233019828796,1
7,0.17687474191188812,0.8231252431869507,1
8,0.23446834087371826,0.7655316591262817,1
9,0.21894752979278564,0.7810524702072144,0
10,0.21212199330329895,0.7878780364990234,1
11,0.27291297912597656,0.7270870208740234,1
12,0.5844419598579407,0.4155580401420593,1
13,0.8603209257125854,0.13967908918857574,1
14,0.8003088235855103,0.19969117641448975,0
15,0.5350630283355713,0.46493691205978394,1
16,0.8890500664710999,0.11094992607831955,0
17,0.4870230257511139,0.5129769444465637,1
18,0.09365192800760269,0.9063480496406555,1
19,0.3601440191268921,0.6398559808731079,1
20,0.3385433852672577,0.6614565849304199,1
21,0.35137173533439636,0.648628294467926,1
22,0.3661535382270813,0.6338464617729187,1
23,0.3880901038646698,0.6119098663330078,1
24,0.09464109688997269,0.9053588509559631,0
25,0.3926399052143097,0.6073600649833679,1
26,0.40373656153678894,0.5962634682655334,0
27,0.1548679769039154,0.8451319932937622,1
28,0.24279633164405823,0.7572036385536194,0
29,0.05019768327474594,0.9498022794723511,1
30,0.46433308720588684,0.5356669425964355,0

