id,topic_0,topic_1,topic_2,topic_3,label
0,0.0,0.9998652338981628,0.0,0.0,1
1,0.5757594704627991,0.9998652338981628,0.0,0.42416661977767944,1
2,0.9959263205528259,0.9998652338981628,0.0,0.42416661977767944,1
3,0.7458493709564209,0.25411325693130493,0.0,0.42416661977767944,0
4,0.995425283908844,0.25411325693130493,0.0,0.42416661977767944,1
5,0.12866069376468658,0.25411325693130493,0.0,0.8645681738853455,1
6,0.9999217391014099,0.25411325693130493,0.0,0.8645681738853455,1
7,0.021086720749735832,0.27003729343414307,0.0,0.7088615298271179,1
8,0.9987784624099731,0.27003729343414307,0.0,0.7088615298271179,1
9,0.9987784624099731,0.27003729343414307,0.0,0.9980875253677368,0
10,0.9987784624099731,0.9957639575004578,0.0,0.9980875253677368,1
11,0.9987784624099731,0.25724881887435913,0.4089677333831787,0.33374637365341187,0
12,0.9987784624099731,0.025494296103715897,0.9686473608016968,0.33374637365341187,1
13,0.9987784624099731,0.025494296103715897,0.9686473608016968,0.9999217987060547,0
14,0.7346915602684021,0.26527243852615356,0.9686473608016968,0.9999217987060547,1
15,0.740650475025177,0.24408383667469025,0.9686473608016968,0.015222360379993916,1
16,0.6157100796699524,0.3612431585788727,0.023036859929561615,0.015222360379993916,0
17,0.6157100796699524,0.9999311566352844,0.023036859929561615,0.015222360379993916,1
18,0.5808454155921936,0.4172843396663666,0.023036859929561615,0.015222360379993916,1
19,0.991510272026062,0.4172843396663666,0.023036859929561615,0.015222360379993916,1
20,0.1221500039100647,0.7679307460784912,0.023036859929561615,0.10990948230028152,0
21,0.1221500039100647,0.7679307460784912,0.9906203150749207,0.10990948230028152,1
22,0.010070910677313805,0.7679307460784912,0.9898860454559326,0.10990948230028152,1
23,0.010070910677313805,0.2134176790714264,0.9898860454559326,0.7865359783172607,0
24,0.9623048305511475,0.2134176790714264,0.037626322358846664,0.7865359783172607,1
25,0.9945843815803528,0.2134176790714264,0.037626322358846664,0.7865359783172607,0
26,0.020365970209240913,0.9795965552330017,0.037626322358846664,0.7865359783172607,0
27,0.9999228119850159,0.9795965552330017,0.037626322358846664,0.7865359783172607,1
28,0.9999228119850159,0.9999290704727173,0.037626322358846664,0.7865359783172607,1
29,0.9999221563339233,0.9999290704727173,0.037626322358846664,0.7865359783172607,0
30,0.9999423027038574,0.9999290704727173,0.037626322358846664,0.7865359783172607,1
31,0.9999423027038574,0.9998911023139954,0.037626322358846664,0.7865359783172607,1
32,0.9999423027038574,0.9999182820320129,0.037626322358846664,0.7865359783172607,1
33,0.0248685572296381,0.9751064777374268,0.037626322358846664,0.7865359783172607,1
34,0.0248685572296381,0.9751064777374268,0.037626322358846664,0.990426778793335,1
35,0.7288783192634583,0.9751064777374268,0.2710360884666443,0.990426778793335,1
36,0.9455764889717102,0.05436936393380165,0.2710360884666443,0.990426778793335,0
37,0.9455764889717102,0.9999420046806335,0.2710360884666443,0.990426778793335,1
38,0.9455764889717102,0.9999479055404663,0.2710360884666443,0.990426778793335,0
39,0.9999266862869263,0.9999479055404663,0.2710360884666443,0.990426778793335,1
40,0.3646981716156006,0.9999479055404663,0.16467902064323425,0.4705694317817688,1
41,0.14060257375240326,0.9999479055404663,0.16467902064323425,0.8593544363975525,0
42,0.10252506285905838,0.7895180583000183,0.02329832874238491,0.08465859293937683,0
43,0.9999367594718933,0.7895180583000183,0.02329832874238491,0.08465859293937683,0
44,0.9999367594718933,0.7895180583000183,0.9998635649681091,0.08465859293937683,1
45,0.33802202343940735,0.7895180583000183,0.9998635649681091,0.6619055271148682,0
46,0.9999279379844666,0.7895180583000183,0.9998635649681091,0.6619055271148682,0
47,0.999923825263977,0.7895180583000183,0.9998635649681091,0.6619055271148682,1
48,0.999923825263977,0.22991031408309937,0.32487332820892334,0.44515758752822876,1
49,0.21661020815372467,0.22991031408309937,0.7833174467086792,0.44515758752822876,0
50,0.21661020815372467,0.9689503908157349,0.0310014970600605,0.44515758752822876,1
51,0.9093843698501587,0.09058282524347305,0.0310014970600605,0.44515758752822876,1
52,0.10193318128585815,0.8980336785316467,0.0310014970600605,0.44515758752822876,1
53,0.10193318128585815,0.9998900890350342,0.0310014970600605,0.44515758752822876,1
54,0.10193318128585815,0.9998900890350342,0.9894866347312927,0.44515758752822876,0
55,0.10193318128585815,0.99993497133255,0.9894866347312927,0.44515758752822876,1
56,0.10193318128585815,0.999886155128479,0.9894866347312927,0.44515758752822876,1
