id,topic_0,topic_1,topic_2,label
0,0.0,0.9998063445091248,0.0,1
1,0.9998606443405151,0.9998063445091248,0.0,1
2,0.9982333779335022,0.9998063445091248,0.0,1
3,0.7367190718650818,0.2632623314857483,0.0,0
4,0.9861661791801453,0.013820460066199303,0.0,1
5,0.8871920108795166,0.11279222369194031,0.0,1
6,0.999895453453064,0.11279222369194031,0.0,1
7,0.21390372514724731,0.7860752940177917,0.0,1
8,0.9998915791511536,0.7860752940177917,0.0,1
9,0.399467796087265,0.6005142331123352,0.0,0
10,0.399467796087265,0.9968154430389404,0.0,1
11,0.399467796087265,0.9187734127044678,0.08114883303642273,0
12,0.399467796087265,0.046195268630981445,0.9481346011161804,1
13,0.9999220967292786,0.046195268630981445,0.9481346011161804,0
14,0.7302078604698181,0.2697742283344269,0.9481346011161804,1
15,0.7251037955284119,0.2748333513736725,0.9481346011161804,1
16,0.4948086738586426,0.40676650404930115,0.09842481464147568,0
17,0.4948086738586426,0.9999011754989624,0.09842481464147568,1
18,0.6381044387817383,0.3618754744529724,0.09842481464147568,1
19,0.999870240688324,0.3618754744529724,0.09842481464147568,1
20,0.23986226320266724,0.7592605948448181,0.09842481464147568,0
21,0.010167076252400875,0.7592605948448181,0.9897549152374268,1
22,0.04439156875014305,0.7592605948448181,0.9555518627166748,1
23,0.04439156875014305,0.9999086260795593,0.9555518627166748,0
24,0.9674420356750488,0.9999086260795593,0.032467398792505264,1
25,0.9952859282493591,0.9999086260795593,0.032467398792505264,0
26,0.014172748662531376,0.9858086109161377,0.032467398792505264,0
27,0.9998968839645386,0.9858086109161377,0.032467398792505264,1
28,0.9998968839645386,0.9998980760574341,0.032467398792505264,1
29,0.9998959302902222,0.9998980760574341,0.032467398792505264,0
30,0.999923050403595,0.9998980760574341,0.032467398792505264,1
31,0.999923050403595,0.9998435378074646,0.032467398792505264,1
32,0.999923050403595,0.9998824596405029,0.032467398792505264,1
33,0.02050277218222618,0.9794847965240479,0.032467398792505264,1
34,0.04731970280408859,0.9794847965240479,0.9525899887084961,1
35,0.5571005344390869,0.9794847965240479,0.44278684258461,1
36,0.9310851097106934,0.06888802349567413,0.44278684258461,0
37,0.9310851097106934,0.9999168515205383,0.44278684258461,1
38,0.9310851097106934,0.9999250769615173,0.44278684258461,0
39,0.999902069568634,0.9999250769615173,0.44278684258461,1
40,0.3562546670436859,0.9999250769615173,0.6399477124214172,1
41,0.3645211458206177,0.9999250769615173,0.6354112029075623,0
42,0.12953020632266998,0.830464780330658,0.04000503569841385,0
43,0.9999154806137085,0.830464780330658,0.04000503569841385,0
44,0.9999154806137085,0.830464780330658,0.9997749328613281,1
45,0.9998634457588196,0.830464780330658,0.9997749328613281,0
46,0.9999037384986877,0.830464780330658,0.9997749328613281,0
47,0.9998982548713684,0.830464780330658,0.9997749328613281,1
48,0.09105271100997925,0.7704551815986633,0.13849204778671265,1
49,0.2137584388256073,0.7704551815986633,0.786146342754364,0
50,0.2137584388256073,0.9999195337295532,0.786146342754364,1
51,0.9102305173873901,0.089753158390522,0.786146342754364,1
52,0.10484525561332703,0.8951383233070374,0.786146342754364,1
53,0.10484525561332703,0.9998421669006348,0.786146342754364,1
54,0.028141921386122704,0.08164241164922714,0.8902156352996826,0
55,0.028141921386122704,0.9999065399169922,0.8902156352996826,1
56,0.028141921386122704,0.9998365640640259,0.8902156352996826,1
57,0.9998831152915955,0.9998365640640259,0.8902156352996826,1
58,0.9998831152915955,0.9998568296432495,0.8902156352996826,1
59,0.12118522077798843,0.8787973523139954,0.8902156352996826,0
60,0.33944758772850037,0.660534143447876,0.8902156352996826,1
61,0.33944758772850037,0.9998194575309753,0.8902156352996826,1
62,0.032811325043439865,0.9671716094017029,0.8902156352996826,1
63,0.4381624162197113,0.561823844909668,0.8902156352996826,1
64,0.4381624162197113,0.561823844909668,0.9998380541801453,1
65,0.516033411026001,0.4839555025100708,0.9998380541801453,1
66,0.16320398449897766,0.04106300696730614,0.7957329750061035,1
67,0.9672766327857971,0.04106300696730614,0.03260977193713188,1
68,0.7382326126098633,0.26175224781036377,0.03260977193713188,0
69,0.9526647925376892,0.26175224781036377,0.046419113874435425,1
70,0.01032231654971838,0.989659309387207,0.046419113874435425,0
71,0.9999129176139832,0.989659309387207,0.046419113874435425,1
72,0.9998910427093506,0.989659309387207,0.046419113874435425,0
73,0.9998910427093506,0.999902606010437,0.046419113874435425,1
74,0.053898122161626816,0.9460853338241577,0.046419113874435425,1
75,0.053898122161626816,0.9999168515205383,0.046419113874435425,1
76,0.053898122161626816,0.9994825720787048,0.046419113874435425,1
77,0.053898122161626816,0.9998965859413147,0.046419113874435425,1
78,0.053898122161626816,0.9998965859413147,0.9997962713241577,1
79,0.053898122161626816,0.9977031350135803,0.9997962713241577,1
80,0.8437785506248474,0.12090059369802475,0.03532080724835396,1
81,0.9998043179512024,0.12090059369802475,0.03532080724835396,1
82,0.999924898147583,0.12090059369802475,0.03532080724835396,0
83,0.999924898147583,0.011609046719968319,0.9882513880729675,1
84,0.8458043932914734,0.1541861742734909,0.9882513880729675,1
85,0.8458043932914734,0.1541861742734909,0.9998934268951416,1

